ts,coin,mark,long_ntl,short_ntl,near_liq_long,near_liq_short,n_pos
2026-07-13T12:01:50Z,INIT,0.054469,26320,25398,0,0,10
2026-07-13T12:01:50Z,NXPC,0.25361,35967,114371,0,0,9
2026-07-13T12:01:50Z,SOPH,0.004655,5313,4399,0,0,9
2026-07-13T12:01:50Z,PROVE,0.19643,186,86021,0,0,7
2026-07-13T12:01:50Z,LINEA,0.002407,48401,137723,0,0,11
2026-07-13T12:01:50Z,SKY,0.058929,6448,421390,0,0,10
2026-07-13T12:01:50Z,AVNT,0.095765,31330,144896,0,0,16
2026-07-13T12:01:50Z,STBL,0.023055,62875,81422,0,0,12
2026-07-13T12:01:50Z,0G,0.17696,26546,90043,0,0,10
2026-07-13T12:01:50Z,APEX,0.26807,42,51800,0,0,6
2026-07-13T12:01:50Z,MET,0.14972,268692,231644,0,0,13
2026-07-13T12:01:50Z,ICP,2.2077,35956,189302,0,0,15
2026-07-13T12:01:50Z,STABLE,0.037298,28873,556221,0,0,13
2026-07-13T12:01:50Z,FOGO,0.00959,14245,67681,0,0,7
2026-07-13T12:01:50Z,SKR,0.009472,22818,47148,0,0,6
2026-07-13T12:01:50Z,CHIP,0.029904,75001,137222,0,0,19
2026-07-13T12:41:28Z,ATOM,1.5366,521675,76611,0,0,30
2026-07-13T12:41:28Z,AVAX,6.5705,539628,2933681,0,80878,69
2026-07-13T12:41:28Z,BNB,567.44,3655925,3523250,0,0,67
2026-07-13T12:41:28Z,APE,0.14926,25263,157775,0,0,28
2026-07-13T12:41:28Z,OP,0.09856,433136,113126,0,0,37
2026-07-13T12:41:28Z,INJ,4.721,446566,129998,0,0,38
2026-07-13T12:41:28Z,SUI,0.72626,408688,7286932,0,6668,74
2026-07-13T12:41:28Z,kPEPE,0.002731,81754,3718105,0,0,56
2026-07-13T12:41:28Z,CRV,0.20729,56267,1015978,0,0,50
2026-07-13T12:41:28Z,LDO,0.30809,101331,1627944,0,0,41
2026-07-13T12:41:28Z,LINK,7.8908,179609,7141868,0,0,76
