ts,addr,account_value,total_ntl_pos
2026-07-13T12:01:50Z,0x0dd5db9c3748486e747c6a123727f472668cf6ee,9599.76,30216.66
2026-07-13T12:01:50Z,0x848b6b4307ed911b52b67e9d5c6aa311431de388,189338.60,356997.19
2026-07-13T12:01:50Z,0xcf3f419d08a5bdc2c6e5fbd9ad70904c5420f95f,5289965.84,1624766.56
2026-07-13T12:01:50Z,0x936cf4fb95c30ce83f658b5bbb247e4bb381bb0f,9814482.11,32461474.57
2026-07-13T12:01:50Z,0x8591a1dcc39e348e9741df5ae3cf89c070c0905f,10953.38,16102.05
2026-07-13T12:01:50Z,0x000000006543993c87da063e328840e3550cabcd,78546.05,920603.91
2026-07-13T12:01:50Z,0x5233199fc1fdd34439650c4450671b5f8806832c,13452.67,65944.03
2026-07-13T12:01:50Z,0xeb83e695adcac2e83f290d2d2815fc58e6491d7a,18145.03,257088.61
2026-07-13T12:01:50Z,0xee162a5a60829bd346f0c1ac3514b21fe5f4b290,53910.64,3449.29
2026-07-13T12:01:50Z,0x2b23d15bd4da0905f1b2dc5b9a3d8d4d0875914f,20396.14,198902.90
2026-07-13T12:01:50Z,0x4ef1c5ae65ab5b37629b7aa523e7e95e7da528e3,48603.93,6725.16
2026-07-13T12:01:50Z,0x2eddf3aa5c4df34f9263a98b564bec3b4ec78179,3889971.75,14561629.62
2026-07-13T12:01:50Z,0xf3dfdbe8b4b3be95b538be764778e56949cbc357,2303.84,22959.07
2026-07-13T12:01:50Z,0x7717a7a245d9f950e586822b8c9b46863ed7bd7e,6955550.00,18485092.64
2026-07-13T12:01:50Z,0xf6d9ccf9865cea52c91a7fd720491eaa7bf17e4f,617953.80,218456.66
2026-07-13T12:01:50Z,0xe0e8c1d735698060477e79a8e4c20276fc2ec7a7,3161.41,28069.23
2026-07-13T12:01:50Z,0xa265636a3cf15e099c54632cb00c625d91543a13,647351.58,401563.61
2026-07-13T12:01:50Z,0xf9109ada2f73c62e9889b45453065f0d99260a2d,6080975.71,2001740.72
2026-07-13T12:01:50Z,0x62dbec4cd5fbc4b84994fc52520cd300b7168312,46397.67,521889.17
2026-07-13T12:01:50Z,0x5838f52ef2302de914d58154aa837f3910ae8ba5,459479.56,1795874.55
2026-07-13T12:01:50Z,0x92a6ce47f26f134871356e7bbf36bf27273f5035,10727.19,97183.55
2026-07-13T12:01:50Z,0x72fdadc3f9de255eb75ed816b2e036ab0a822ef7,5716.40,34143.60
2026-07-13T12:01:50Z,0xad0d614bed719fed42cf5bfeccb75e47256da754,5447.73,20609.81
2026-07-13T12:01:50Z,0xecb63caa47c7c4e77f60f1ce858cf28dc2b82b00,39645723.28,124261640.35
2026-07-13T12:01:50Z,0xbad78547ae2f710a7b07974a6fe4f5f9c33a2c31,80681.81,701.70
2026-07-13T12:01:50Z,0x32051a0c36af1449e0eee08146a808115ccc40bb,1540757.07,2356732.37
2026-07-13T12:01:50Z,0x3f3e7878cbde6da00629f6f6115f367f8ef316d2,45294.45,32164.22
2026-07-13T12:01:50Z,0xb10679bb432789f70791279938cd717b39d9a874,10490.18,0.00
2026-07-13T12:01:50Z,0x66d3974f5f5628422479ac415b4424131b2626d0,37386.74,94652.53
2026-07-13T12:01:50Z,0x50011cf3e4e7dbaec88351ac939ab732e4ac5b3a,2524.50,25242.58
2026-07-13T12:01:50Z,0x925a3877cd884b8edf3160192f76c7c251f83856,35706.61,124094.12
2026-07-13T12:01:50Z,0x9c70d39a75f55ef8ae41af10292a1c915e3c4323,104044.41,235433.55
2026-07-13T12:01:50Z,0xca230e816bdb34a46960c2f978a30a563d1ae9e0,1715802.45,910905.45
2026-07-13T12:01:50Z,0xaf2825f73a90cf08baf2577818826b79e3faca9b,36520.39,98052.25
2026-07-13T12:01:50Z,0xc029043cd00b80363130fa058818459a521842a1,8274.95,1794.65
2026-07-13T12:01:50Z,0x59e1120978c195657798a6d789d388d5cb59107e,83260.51,650689.88
2026-07-13T12:01:50Z,0x71d0e11ebb6150cebe20cf62f798be1a50108c26,7283011.91,4374090.28
2026-07-13T12:01:50Z,0xb39efb5f3d3c140a5f9a90b29315a8ef591eb6e0,16511.30,165062.24
2026-07-13T12:01:50Z,0x4c226d5a21ae3b9883f98cbda1a3be63e565f308,375657.48,698372.34
2026-07-13T12:01:50Z,0x9266865bb6afb4c4f618544dd3b8c970f17aa664,176465.74,517080.61
2026-07-13T12:01:50Z,0x962bdd83c3943fe08b62101fd9f9a8b923a0b475,376727.56,2120189.52
2026-07-13T12:01:50Z,0x7e698eea0709e4a0dbbd790fc493d60691801157,446392.95,233532.71
2026-07-13T12:01:50Z,0x2a4ee571bbadd998a4110c56894fd6b231f62088,53728.44,1299.51
2026-07-13T12:01:50Z,0xc2f7f282c9a8497326af5dba178b7ecb3eeee628,3942.02,59647.53
2026-07-13T12:01:50Z,0xcc34f1c72857a01a3bf59de072eeb363db5935f9,3159.87,32092.71
2026-07-13T12:01:50Z,0x873b3a7e953f4928fc897e2ac7f1218a6c418e05,9272.88,2875.48
2026-07-13T12:01:50Z,0x8964ee288e13e8626b114cd4fd27add62c71b734,11185.49,2710.09
2026-07-13T12:01:50Z,0xb2f7374b222a930d20e8d556f33228211d1baf9f,6497900.53,17238771.87
2026-07-13T12:01:50Z,0x8f63c88fccae90c1f9eb8b447f830bce7b71dd74,280456.87,120825.73
2026-07-13T12:01:50Z,0x023a3d058020fb76cca98f01b3c48c8938a22355,13365408.47,62729452.17
