ts,addr,coin,szi,entryPx,liqPx,mark,dist_to_liq,uPnl,lev,acct_value
2026-07-13T12:01:50Z,0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,TRUMP,-0.1,1.93801,1915554.4100190476,1.5492,1236478.7379,0.038821,10,234690
2026-07-13T12:01:50Z,0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,VVV,-4819.63,10.6889,46.3083303821,10.535,3.3957,727.301684,3,234690
2026-07-13T12:01:50Z,0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,ZEC,40.81,513.191,,511.16,,-77.581916,10,234690
2026-07-13T12:01:50Z,0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,AERO,-62.0,0.496101,2781.1325287051,0.49118,5661.1453,0.298904,3,234690
2026-07-13T12:01:50Z,0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,XMR,92.828,330.32,,325.77,,-422.368242,5,234690
2026-07-13T12:01:50Z,0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,GRAM,-17820.0,1.632363,11.8651432978,1.6037,6.3986,500.083548,5,234690
2026-07-13T12:01:50Z,0xa38f19c4ccbcfd64cff676d72c436f7e6239dccf,CASHCAT,-48420.0,0.158529,0.1811893017,0.16105,0.1250,-116.733621,3,234690
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,BTC,-3.07756,63797.9,434113.4658763661,62926.0,5.8988,2655.719574,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,ETH,-190.0803,1726.72,7747.0027810383,1780.7,3.3505,-10411.270541,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,SOL,-893.11,76.8238,1339.7575982933,76.296,16.5600,454.447917,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,AVAX,-1353.78,7.3369,820.3158450413,6.6473,122.4059,932.156684,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,BNB,-228.763,568.47,5384.3236803529,569.15,8.4603,-162.352886,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,OP,-15870.8,0.11873,66.3503096611,0.09924,667.5843,309.197677,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,LTC,-2466.24,44.1586,490.0311409711,43.389,10.2939,1898.180484,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,ARB,-18835.3,0.09189,58.575227119,0.09319,627.5570,-24.398749,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,DOGE,-13583.0,0.072673,81.1682402816,0.072254,1122.3737,5.62849,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,LINK,-1509.0,7.86353,737.9075146114,7.9353,91.9905,-109.648593,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,BCH,-178.599,224.915,6405.2073199631,237.64,25.9534,-2267.168549,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,AAVE,-70.03,84.298,15825.1587586545,95.785,164.2154,-805.760442,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,TRX,-87412.0,0.330722,12.9282702877,0.32672,38.5699,349.83515,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,UNI,-687.5,3.14712,1605.7276745434,3.5067,456.9028,-247.411063,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,CAKE,-9.9,1.3386,100140.182658961,1.3905,72016.3913,-0.51381,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,ETC,-104.58,8.5529,10061.0426982823,6.9459,1447.4865,167.940352,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,ONDO,-305.0,0.32155,3611.880895897,0.31787,11361.7612,1.11325,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,POL,-246642.0,0.080162,4.3458581105,0.08277,51.5052,-642.434268,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,PAXG,-0.085,4142.391,12963192.50880672,4054.7,3196.0781,7.453754,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,XMR,-3594.755,327.197,618.2676299272,325.77,0.8979,5132.52311,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,DASH,-659.12,39.0653,1629.0941401704,33.843,47.1368,3437.539663,2,1084358
2026-07-13T12:01:50Z,0x5ad96a3986b9d2cfab1d39c68002edd17263f5ef,GRAM,-8173.0,1.677943,130.2544061629,1.6037,80.2212,601.88476,2,1084358
2026-07-13T12:01:50Z,0x0b5a536884f1c64ecab5d5894c444fe54d19adf2,BTC,-1e-05,63059.9,8636275225.876543,62926.0,137243.9421,0.001249,20,87475
2026-07-13T12:01:50Z,0x0b5a536884f1c64ecab5d5894c444fe54d19adf2,ETH,-0.4999,1782.16,173270.0123024605,1780.7,96.3044,0.333417,20,87475
2026-07-13T12:01:50Z,0x0b5a536884f1c64ecab5d5894c444fe54d19adf2,SOL,-8.31,76.3183,10342.1304378504,76.296,134.5527,0.027501,20,87475
2026-07-13T12:01:50Z,0x0a06ec6754b628be489b2c40bba20c8580392a7b,SOL,-1157.35,76.5067,1034.4829082098,76.296,12.5588,221.899484,10,1174541
2026-07-13T12:01:50Z,0x0a06ec6754b628be489b2c40bba20c8580392a7b,AAVE,-6177.08,99.4003,271.0538590459,95.785,1.8298,22214.687838,10,1174541
2026-07-13T12:01:50Z,0x0a06ec6754b628be489b2c40bba20c8580392a7b,FARTCOIN,-640206.4,0.14272,1.833261555,0.14232,11.8813,241.587891,7,1174541
